,Kernel,Average False Confidence Before Retraining,Attack,batch_size,eps,eps_step,max_iter,name
18,rbf,0.38933317084409624,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.01, 'max_iter': 100, 'batch_size': 100}",100,1.0,0.01,100,art.attacks.evasion.ProjectedGradientDescent
19,rbf,0.28660131457899024,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 10, 'batch_size': 1}",1,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
20,rbf,0.2903659354119141,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.001, 'max_iter': 10, 'batch_size': 1}",1,0.1,0.001,10,art.attacks.evasion.ProjectedGradientDescent
21,rbf,0.3544166134821832,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.01, 'eps_step': 0.01, 'max_iter': 1000, 'batch_size': 10}",10,0.01,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
22,rbf,0.19333780033863993,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.01, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
23,rbf,0.311585088646144,"{'batch_size': 10, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
24,rbf,0.2896845060004106,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
25,rbf,0.3705905802321384,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 10, 'batch_size': 10}",10,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
26,rbf,0.19513199548386015,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.1, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.1,100,art.attacks.evasion.ProjectedGradientDescent
27,rbf,0.31164358326835356,"{'batch_size': 100, 'eps': 0.1, 'eps_step': 0.1, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.1,0.1,1,art.attacks.evasion.ProjectedGradientDescent
28,rbf,0.3053640389932365,"{'batch_size': 10, 'eps': 1, 'eps_step': 0.01, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,1.0,0.01,1,art.attacks.evasion.ProjectedGradientDescent
29,rbf,0.19333780033863993,"{'batch_size': 10, 'eps': 1, 'eps_step': 0.1, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,1.0,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
30,rbf,0.30622998493810005,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.01, 'max_iter': 1, 'batch_size': 10}",10,0.001,0.01,1,art.attacks.evasion.ProjectedGradientDescent
31,rbf,0.36890852463792884,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 100, 'batch_size': 100}",100,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
32,rbf,0.2880780310411305,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1000, 'batch_size': 100}",100,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
33,rbf,0.346130665553078,"{'batch_size': 100, 'eps': 0.1, 'eps_step': 0.1, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.1,0.1,1,art.attacks.evasion.ProjectedGradientDescent
34,rbf,0.33650352772703473,"{'batch_size': 10, 'eps': 1, 'eps_step': 0.001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,1.0,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
35,rbf,0.30496200301955545,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
36,rbf,0.29391021854014016,"{'batch_size': 1, 'eps': 1, 'eps_step': 0.001, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
37,rbf,0.37770464730787984,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.001, 'max_iter': 100, 'batch_size': 10}",10,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
38,rbf,0.3774858251440553,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 100, 'batch_size': 100}",100,0.001,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
39,rbf,0.19513199548386015,"{'batch_size': 10, 'eps': 1, 'eps_step': 0.01, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,1.0,0.01,100,art.attacks.evasion.ProjectedGradientDescent
40,rbf,0.35699759550705373,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.0001, 'max_iter': 10, 'batch_size': 10}",10,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
41,rbf,0.30916291023636117,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.1, 'max_iter': 1, 'batch_size': 1}",1,0.1,0.1,1,art.attacks.evasion.ProjectedGradientDescent
42,rbf,0.3167947354258646,"{'batch_size': 100, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
43,rbf,0.2781396781874082,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.01, 'max_iter': 1, 'batch_size': 10}",10,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
44,rbf,0.2958166438447547,"{'batch_size': 1, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.1,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
45,rbf,0.28845691588854716,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.001, 'max_iter': 10, 'batch_size': 100}",100,0.1,0.001,10,art.attacks.evasion.ProjectedGradientDescent
46,rbf,0.20713383569150934,"{'batch_size': 10, 'eps': 0.01, 'eps_step': 0.1, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.01,0.1,100,art.attacks.evasion.ProjectedGradientDescent
47,rbf,0.2707368966792244,"{'batch_size': 10, 'eps': 0.01, 'eps_step': 0.0001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.01,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
48,rbf,0.3068534846931989,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.01, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.01,100,art.attacks.evasion.ProjectedGradientDescent
49,rbf,0.19298566529952269,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
50,rbf,0.3009713495206109,"{'batch_size': 10, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
51,rbf,0.2703642463246307,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.01, 'max_iter': 1, 'batch_size': 100}",100,1.0,0.01,1,art.attacks.evasion.ProjectedGradientDescent
52,rbf,0.33503250925865546,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 10, 'batch_size': 100}",100,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
53,rbf,0.25557224417282426,"{'batch_size': 10, 'eps': 1, 'eps_step': 0.01, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,1.0,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
54,rbf,0.30161924685885266,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
55,rbf,0.27476023401544986,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.01, 'eps_step': 0.1, 'max_iter': 1, 'batch_size': 10}",10,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
56,rbf,0.2703461567553323,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.01, 'max_iter': 1, 'batch_size': 10}",10,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
57,rbf,0.2586378600370923,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.01, 'max_iter': 100, 'batch_size': 100}",100,1.0,0.01,100,art.attacks.evasion.ProjectedGradientDescent
58,rbf,0.2890378791446654,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.0001, 'max_iter': 100, 'batch_size': 1}",1,1.0,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
59,rbf,0.307185267449109,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 1, 'batch_size': 1}",1,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
60,rbf,0.3011478848134494,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
61,rbf,0.42315428722553977,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 100, 'batch_size': 1}",1,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
62,rbf,0.30142537154130306,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
63,rbf,0.2581754064781623,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.1,10,art.attacks.evasion.ProjectedGradientDescent
64,rbf,0.5573614426065756,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
65,rbf,0.3116381346913033,"{'batch_size': 1, 'eps': 0.1, 'eps_step': 0.01, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.1,0.01,1,art.attacks.evasion.ProjectedGradientDescent
66,rbf,0.3359324571793858,"{'batch_size': 100, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
67,rbf,0.19333780033863993,"{'batch_size': 10, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
68,rbf,0.3067181051877048,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.0001, 'max_iter': 1, 'batch_size': 10}",10,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
69,rbf,0.19333780033863993,"{'batch_size': 1, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
70,rbf,0.309163086076285,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 1, 'batch_size': 10}",10,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
71,rbf,0.32067437911700886,"{'batch_size': 100, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
72,rbf,0.3421450465248643,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
73,rbf,0.31707065688810615,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.1, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.1,1,art.attacks.evasion.ProjectedGradientDescent
74,rbf,0.19513199548386015,"{'batch_size': 10, 'eps': 0.1, 'eps_step': 0.001, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.1,0.001,100,art.attacks.evasion.ProjectedGradientDescent
75,rbf,0.3004899412680619,"{'batch_size': 100, 'eps': 1, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
76,rbf,0.30502939452133365,"{'batch_size': 1, 'eps': 0.01, 'eps_step': 0.01, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.01,0.01,100,art.attacks.evasion.ProjectedGradientDescent
77,rbf,0.31172108334033216,"{'batch_size': 10, 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
78,rbf,0.3014826968101509,"{'batch_size': 10, 'eps': 1, 'eps_step': 0.0001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
79,rbf,0.4257378665424264,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.01, 'max_iter': 100, 'batch_size': 1}",1,0.001,0.01,100,art.attacks.evasion.ProjectedGradientDescent
80,rbf,0.1943690694517971,"{'batch_size': 10, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.1,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
81,rbf,0.40299950391489053,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.01, 'max_iter': 1000, 'batch_size': 100}",100,0.1,0.01,1000,art.attacks.evasion.ProjectedGradientDescent
82,rbf,0.2972662841135661,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 100, 'batch_size': 100}",100,0.001,0.1,100,art.attacks.evasion.ProjectedGradientDescent
83,rbf,0.27192417834733346,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.0001, 'max_iter': 10, 'batch_size': 100}",100,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
84,rbf,0.19333780033863993,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
85,rbf,0.19458200209613982,"{'batch_size': 100, 'eps': 0.1, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.1,0.001,1,art.attacks.evasion.ProjectedGradientDescent
86,rbf,0.2859616796602237,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.01, 'max_iter': 10, 'batch_size': 1}",1,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
87,rbf,0.31213120037746,"{'batch_size': 100, 'eps': 1, 'eps_step': 0.0001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,1.0,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
88,rbf,0.19333780033863993,"{'batch_size': 10, 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.1,0.0001,1000,art.attacks.evasion.ProjectedGradientDescent
89,rbf,0.27173026688521185,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 1, 'batch_size': 10}",10,0.001,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
90,rbf,0.3492380263038295,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.1, 'eps_step': 0.0001, 'max_iter': 100, 'batch_size': 1}",1,0.1,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
91,rbf,0.3413323641777645,"{'batch_size': 10, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.001,0.001,1000,art.attacks.evasion.ProjectedGradientDescent
92,rbf,0.31197825333779655,"{'batch_size': 10, 'eps': 1, 'eps_step': 0.0001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,1.0,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
93,rbf,0.18659737404905744,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
94,rbf,0.19382301357379902,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
95,rbf,0.25692891059048867,"{'batch_size': 1, 'eps': 1, 'eps_step': 0.0001, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,1.0,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
96,rbf,0.30285298707616537,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.01, 'eps_step': 0.01, 'max_iter': 10, 'batch_size': 100}",100,0.01,0.01,10,art.attacks.evasion.ProjectedGradientDescent
97,rbf,0.19513199548386015,"{'batch_size': 10, 'eps': 1, 'eps_step': 0.001, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,1.0,0.001,100,art.attacks.evasion.ProjectedGradientDescent
98,rbf,0.2744878087144238,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 1, 'batch_size': 10}",10,0.001,0.001,1,art.attacks.evasion.ProjectedGradientDescent
99,rbf,0.19333780033863993,"{'batch_size': 1, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.001,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
100,rbf,0.30961903749593706,"{'batch_size': 1, 'eps': 0.01, 'eps_step': 0.0001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.01,0.0001,10,art.attacks.evasion.ProjectedGradientDescent
101,rbf,0.19333780033863993,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.1, 'max_iter': 1000, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.1,1000,art.attacks.evasion.ProjectedGradientDescent
102,rbf,0.30628531825630817,"{'batch_size': 1, 'eps': 1, 'eps_step': 0.001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,1.0,0.001,1,art.attacks.evasion.ProjectedGradientDescent
103,rbf,0.2892608059228981,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1, 'batch_size': 100}",100,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
104,rbf,0.19236140315660447,"{'batch_size': 100, 'eps': 0.001, 'eps_step': 0.001, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.001,0.001,10,art.attacks.evasion.ProjectedGradientDescent
105,rbf,0.19513199548386015,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.001, 'max_iter': 100, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.001,100,art.attacks.evasion.ProjectedGradientDescent
106,rbf,0.2513047735927948,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.01, 'max_iter': 10, 'batch_size': 100}",100,0.001,0.01,10,art.attacks.evasion.ProjectedGradientDescent
107,rbf,0.29228489960596254,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 1, 'eps_step': 0.001, 'max_iter': 10, 'batch_size': 1}",1,1.0,0.001,10,art.attacks.evasion.ProjectedGradientDescent
108,rbf,0.2589891237366552,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.001, 'eps_step': 0.0001, 'max_iter': 100, 'batch_size': 10}",10,0.001,0.0001,100,art.attacks.evasion.ProjectedGradientDescent
109,rbf,0.18764534443417685,"{'batch_size': 1, 'eps': 0.1, 'eps_step': 0.01, 'max_iter': 10, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",1,0.1,0.01,10,art.attacks.evasion.ProjectedGradientDescent
110,rbf,0.3049982638300931,"{'batch_size': 10, 'eps': 0.001, 'eps_step': 0.1, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",10,0.001,0.1,1,art.attacks.evasion.ProjectedGradientDescent
111,rbf,0.2988383194482754,"{'name': 'art.attacks.evasion.ProjectedGradientDescent', 'eps': 0.01, 'eps_step': 0.001, 'max_iter': 10, 'batch_size': 10}",10,0.01,0.001,10,art.attacks.evasion.ProjectedGradientDescent
112,rbf,0.3112027816326713,"{'batch_size': 100, 'eps': 0.01, 'eps_step': 0.0001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,0.01,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
113,rbf,0.3070771846807752,"{'batch_size': 100, 'eps': 1, 'eps_step': 0.0001, 'max_iter': 1, 'name': 'art.attacks.evasion.ProjectedGradientDescent'}",100,1.0,0.0001,1,art.attacks.evasion.ProjectedGradientDescent
